arduous	骨の折れる|困難な|根気強い
patriarchal	家父長制の
clostridium	クロストリジウム属細菌
floodlight	投光照明|フラッドライト
swerve	急に曲がる|それる|それさせる|(急に)向きを変える|ハンドルを切る
archetype	原型|典型
kkk	クークラックスクラン|KKK団|ＫＫＫ
whitewash	ごまかし|取り繕い|水しっくい|うわべを飾る|表面を取り繕う|ごまかす
highlander	高地人|スコットランド高地人
shamanism	シャーマニズム|黄教(シベリア北部の遊牧人などの原始宗教)
wallaby	ワラビー
pariah	パーリア(南部インドの最下級民)|社会ののけ者
bowser	バウザー(空港で飛行機にガソリンを運ぶ特別な運搬車)
clamor	叫び声|絶叫|やじ|不満|抗議|やかましく要求する
inconclusive	結論に到達しない
flimsy	薄っぺらな|もろい|複写紙
sugarcane	サトウキビ
minion	手先|子分|寵児|かわいらしい|奴隷
outfielder	(野球)外野手
sheesh	ちぇっ
speakeasy	(禁酒法時代の)もぐり酒場
complicity	連座|共犯|共謀
adjudicator	審判
unstring	remove the strings from; "unstring my guitar"|remove the strings from
drivel	たわごとを言う
topping	最高級の|素敵な　2|トッピング
penchant	傾向|趣味
unwise	分別がない|愚かな|知恵がない
macromolecular	relating to or consisting of or characterized by macromolecules; "macromolecular compounds"|relating to or consisting of or characterized by macromolecules
acropolis	〈C〉(古代ギリシア都市の)城さい|《the A-》アクロポリス(アテネの昔の城さいでパルテノン(Parthenon)神殿その他の遺跡がある)
lymphoid	リンパの
predisposition	傾向|素因|性質|たち
paradoxical	逆説的な|矛盾した
stateless	国籍のない
lounger	なまけ者
cerebellum	小脳
statehood	州である状態
insanely	めちゃくちゃ
treachery	裏切り行為|裏切り|背信|不信|不実|謀反
bubblegum	風船ガム
wroclaw	ブロツラフ
taxidermy	剥製(はくせい)術
portraiture	肖像画(法)|人物描写
barnum	p・t・バーナム
caw	かあかあと鳴く|カーカー|カラスの鳴き声
chalkboard	黒板
urbanize	make more industrial or city-like; "The area was urbanized after many people moved in"|make more industrial or city-like
adjacency	近接
quagmire	泥沼|ぬかるみ|窮地
sate	満足させる|十分に満足させる|満腹させる
peddler	行商人|思想を切売りする人|うわさを受け売りする人
counterstrike	切り返す|切りかえす|反攻|逆よせる|反撃|切返す|逆寄せる|逆襲
sufi	スーフィ|スーフィ
beset	包囲する|取り巻く
tocopherol	トコフェロール(ビタミンE)|正常な生殖に必須の脂溶性ビタミン
housewarming	新築(移転)祝いのパーティー(披露宴)
regenerative	更生させる
repulsive	よそよそしい|冷淡な|反発する
eschew	を避ける|控える|避ける|慎む
artifice	技術|技巧|工夫|考案|策略|ずるさ|手管|術策
meaty	肉の(ような)|筋肉たくましい|太った|内容の充実した
sikkim	シッキム州
seclusion	閑居|隠退|隔離|人里離れた場所|隠遁
sinusoidal	正弦曲線の
taster	検味器|味見をする人|味わう人|毒味役
hauler	運送業者
headroom	(トンネルなど天井までの)あき高|桁(けた)高
fortnightly	2週間ごとの
creditable	賞賛に値する|りっぱな
nett	=net
elude	逃れる|巧みに避ける|かわす
appreciable	感知されるほどの|かなりの
stabilisation	安定化|安定化|安定
silage	(サイロに蓄えた)貯蔵牧草
futility	無益|waste|無駄なこと|無益なこと
ladybird	テントウムシ(=ladybug)
sculpt	彫刻する
flak	対空砲|対空射撃|矢継ぎ早の批難
derelict	放棄された|職務怠慢な|職務怠慢者
yuck	気持ち悪いもの|こと|オエッ(=yuk)
supposition	想定|仮定|推測
flatmate	フラットの同居人
blissful	この上なく幸福な
dinky	小さい|取るに足らない
platonic	純精神的な
coincidentally	偶然
executioner	死刑執行人|殺し屋|遂行者
pollination	授粉
cobblestone	舗装用の丸石|玉石
deejay	ディスクジョッキー|DJ|disc jockey
synchro	シンクロ
averse	反対して|嫌って
afield	家を離れて|戦場に(へ)|常軌を離れて
chewable	チュアブル
lemur	キツネザル
quod	刑務所|Ex|He is in prison-in jail-in quod-for doing evil|悪いことをして監獄へ入っている
everyman	ごく普通の人
riverbank	川岸
multicenter	多施設の
mosh	モッシュ|グループ通話ができるアプリ
hapless	不運な|数奇な|あわれな
sagebrush	ヨモギの一種(北米西部産)
proteome	プロテオーム|ある生物種|細胞の状態のタンパク質の総体|プロテオームを扱う解析がプロテオミクス
examen	検討|試験
ably	りっぱに|巧みに
chooser	選ぶ人|選挙人|選択者
mitosis	有糸分裂
gunman	(銃器所持の)暴漢|殺し屋|拳銃の名手
sparsely	まばらに|わずかに
amide	アミド[基化物]
ameliorate	改良する|改善する
mako	アオザメ
jeez	あらっ
coven	魔女の集まり
scoff	嘲笑|あざけり|をあざ笑う|あざける|嘲笑する
spacey	stupefied by (or as if by) some narcotic drug
egregious	実にひどい|言語道断な|著しい|顕著な
backspace	(英文タイプの)逆進用のキー|(逆進用キーを使って)タイプローラー'を'1字分戻す
legato	(演奏法で)レガートで|音を切らないで
agarose	アガロース|ゲル化しやすい中性多糖で寒天の主要な成分
badass	たちの悪いやつ
hoke	〜‘を'でっちあげる《+『up』+『名』|+『名』+『up』》|でっちあげ|たわごと
conventionally	従来
perceptive	知覚する|洞察の鋭い
effusion	流出
resurface	再び姿を現す|再び浮上する|再舗装する|表面を付け替える
infomercial	情報コマーシャル
darwinism	ダーウィンの進化論
cormorant	鵜(う)|2貪欲な(大食の)人
detonation	(猛烈な)爆発|爆発音
lecithin	レシチン|グリセロリン脂質の一種|動植物の全細胞中に存在する|生体膜の主要構成成分
destitute	貧困な|欠乏した|無一文の
lates	a genus of large percoid fishes of fresh and brackish water
singly	一つずつ|一人ずつ|独力で
phosphorylated	リン酸化された
abuser	乱用者
headless	頭部を切られた|頭のない|愚かな
anatomic	解剖の
gooseneck	鎌首
thane	a feudal lord or baron|a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land)
hypo	刺激|ハイポ|麻薬中毒者|刺激する|促進する|皮下注射する
futurist	未来派の人(芸術家)|未来派の
epinephrine	エピネフリン|副腎髄質ホルモン|止血･強心剤
playroom	遊戯室
picayune	ピキューン(昔のスペインの貨幣|5セント相当)|つまらないもの
lipase	リパーゼ(脂肪分解酵素)
autologous	derived from organisms of the selfsame individual; "autologous blood donation"|derived from organisms of the selfsame individual
homespun	(布が)手織りの|質素な|素朴な|粗野な|月並みの
outpace	しのぐ
clobber	を打ちのめす|を壊す|持ち物|衣類
modeller	a person who creates models
friar	たくはつ僧|修道院
hospitable	親切にもてなす|手厚い|もてなしのよい|慇懃な|快適な
crevice	(狭く深い)裂け目|割れ目|クレバス
preclinical	臨床前の
audiotape	録音テープ
squall	スコール(熱帯性の突然の雨)|突風|スコールが起こる|悲鳴
deductive	演繹(えんえき)的な|推論的な
makeshift	仮の|間に合わせの|一時しのぎの
devaluation	通貨の切下げ|平価切下げ
bailiff	廷吏|強制執行官
freighter	輸送船|貨物輸送機|貨物輸送業者
priestess	女司祭|みこ|尼僧
nonproliferation	核不拡散
adipose	(動物性)脂肪
uncomplicated	合併症のない
minder	世話する人|番人|ボディガード
tobey	トビー
clemency	穏やかさ|寛大さ|温順|仁慈|温情の処置|温和
woolly	羊毛から成る|羊毛の|羊毛に似た|毛に覆われた|ぼんやりした
deconstruction	脱構築
overpass	高架道路|歩道橋|跨線橋
omelet	オムレツ
teleport	transport by dematerializing at one point and assembling at another
rehabilitative	再建的
airship	飛行船|ツェッペリンが開発した硬式飛行船(外殻の支持構造を持つ)とガス圧で外形を維持する軟式飛行船がある
experimenter	実験者
hydrodynamic	流体の力に関する;流体力学の
centroid	重心
unlabeled	標識されていない
perpetually	永久に|ひっきりなしに
integrin	インテグリン(integrin)は|細胞表面の原形質膜にあるタンパク質で|細胞接着分子
sounding	深浅測量
rekindle	再燃させる|再び元気づける
cabochon	カボション・カット
decrement	減少|減衰率
divisible	分けられる
celluloid	セルロイド
identically	同様に
cutthroat	(競争など)殺りく的な|厳しい
lightness	軽さ|軽率さ|気楽さ|軽快さ|敏捷さ
quash	取り消す|破棄する
saddlery	〈U〉馬具製造業|〈U〉馬具類[一式]|〈C〉馬具店
privateer	私掠船(しりゃくせん|戦時に敵船捕獲の許可を与えられた私有武装船)|その船長
wishbone	叉骨(鳥の胸の二またになった骨;二人でこの骨を引き合って長い方を取った人は望みがかなえられるという)
dictum	(権威ある)意見|(公式の)声明|命令|格言|公式見解|断定|言明|金言
endicott	エンデコット
pagination	本のページ付け|丁付け|ページ数|ノンブル(ページ数を示す字)
spigot	コック|飲み口|差込み部|蛇口|栓
baggy	だぶだぶの|(baggie食料保存袋|buggyバギー)
childbearing	=childbirth
crayfish	ざりがに|イセエビ
piezoelectric	圧電
pinup	ピンナップ写真
eulogy	(時におどけて)賞賛の言葉|賛辞|(特に追悼の)賛美
arcsec	the inverse function of the secant; the angle that has a secant equal to a given number|the inverse function of the secant|the angle that has a secant equal to a given number
resolute	堅く決心した
panacea	万能薬|万能の方策|放逐|占有剥奪
aftercare	病後の養生|(卒業後の)職業指導;(刑務所出所後の)更生指導
dissonance	不調和音|耳障りな音|不一致|不和|不協和|不調和
blindfold	に目隔しをする|目隠し(の布)|目隠しする|欺く|目隠しをして|がむしゃらな(に)
diastolic	(医)弛緩性|弛緩期|心臓拡張期|拡張期
stockbroker	株式仲買人
cesarean	帝王切開
gouge	丸のみ|丸たがね|金の強要|ゆすり|詐欺|だます
adrift	漂流して|漂って|さまよって|目標を失って
servitude	奴隷状態|苦役|奴隷の境遇|隷属
centralize	中央集権化する|中心に集める
ilk	同類|家族|同地|種類|階級|同種
tenge	100 tenge equal 1 manat in Turkmenistan|the basic unit of money in Kazakhstan
malformed	奇形の
mks	meter-kilogram-second
seatbelt	シートベルト
wether	去勢した羊
factoid	疑似事実
cadaver	死体(特に解剖･研究用)
citric	クエン酸(プラム等の果実の皮下に多い酸味成分)の
namesake	(ある人の)名をもらった人|同名の者(物)
apothecary	薬屋(人)
nitride	窒化物
depositary	預かり所|倉|保管所|貯蔵室|受託所|デポー|蔵|貯蔵所|リポジトリ
truckload	トラック積荷
virulent	有毒な|毒性の
yada	yada|yada|yada等と使う|等々|の意味|"blah blah blah"や"and so on"と同じ使い方(スラング) (=yadda)
garret	屋根裏部屋|最上階の部屋|(=|attic|garret|loft)
recast	鋳直した|を作りなおす
swig	がぶ飲みする|ひと飲み|がぶがぶ飲む|らっぱ飲みする
pathologic	病的な
commendable	ほめるに足る|立派な|奇特
barbaric	野蛮人の
otitis	耳炎
bygone	過ぎ去った|骨董品|Let bygones be bygones|過去は過去|過去は水に流せ
deliciously	おいしく
buttress	控え壁|支え|強化する|支持する|扶壁|支持するもの|飛び出した部分
esthetic	美の|審美的な|美学の|審美眼をもった|趣味のよい|芸術的な
cytosolic	細胞質の
glycerin	グリセリン|グリスリン|リスリン|グリセロール
cleat	耳形綱止め|電線押え|クリート|靴の底がね
shirtless	シャツを着ていない
lifelike	生きているような|そっくりの
topiary	装飾刈り込み法(の庭園)
biographer	伝記作家
calcite	方解石(炭酸カルシウムの結晶で石灰岩・大理石・チョークの主成分)
stowaway	密航者
lense	レンズ
unverified	lacking proof or substantiation
untapped	栓があけ(られ)てない|(資源など)利用され(てい)ない|未開発の
enlarger	(写真の)引き伸ばし機
zealous	熱心な|熱中した|熱狂的な
ocarina	オカリーナ(10個の指穴のついた卵型の笛|おもに陶器製)
iridescent	虹色に輝く|虹色の|玉虫色の
nonce	当面の目的|目下|当座|その場限りの|臨時の|性的異常者|強姦犯人|卑劣な奴|ばかげたこと
bunt	(野球)バント|(punt平底小船|ラグビー等でボールが地に着く前に蹴ること|bunt野球のバント|band帯|楽団|bund海岸通り)
cgs	system of measurement based on centimeters and grams and seconds
upstart	成り上がり者|成金|成り上がりの|成り上がり
dilation	膨張
consecutively	連続して|引続き|論理が一貫して
dropper	落とす人|点滴器
underdeveloped	低開発の|発育途上の
judicious	思慮分別のある|思慮深い
unaltered	変わらない
customarily	通例
haggle	押し問答する|押し問答|値切る
tramway	路面軌道
unoccupied	持ち主のない|占有されていない|ふさがっていない|暇な
tigris	チグリス川
cytoskeleton	細胞骨格
amitriptyline	アミトリプチリン
reentry	再突入
casebook	(医学・法律・精神医学などの)事例記録集
burgh	《スコットランド》自治都市
granola	グラノラ(朝食・間食用の乾燥した果実・ナッツ・麦などの混ぜ物)
buckwheat	ソバ(の実)|ソバ粉
yearling	(動物の)満1年子|明け2歳馬
agape	(あんぐり)口をあけて|ぽかんとして|唖然として
gipsy	=gypsy
undifferentiated	未分化
damnation	破滅
deferment	延期|繰延べ|据え置き|徴兵猶予
rapidity	迅速|速度
bolero	(スペイン語)ボレロ|スペインの民族舞曲の1つ
doxycycline	doxycycline hydrochloride(DOXY)ドキシサイクリン塩酸塩|抗生物質|グラム陽性菌･グラム陰性菌やリケッチアに抗菌力を示す|マラリア原虫にも一定の効果がある
crescendo	次第に強く
deleterious	有害な|有毒な|心身に有害な
sportsmanship	スポーツマン精神|スポーツマンシップ
takedown	テイクダウン|テークダウン|スケルチ
airtight	密閉した
schoolboy	男子生徒|男生徒
annular	《文》環状の
implode	崩壊する|統合する|鐘破する|内破する|集中する
hilt	柄(え|つか)
ikon	=icon
alluvial	(əlúːviəl)|沖積(ちゅうせき)層の|堆積(たいせき)土砂の|(沖積紀|洪積紀|洪積の名は国際地質科学連合International Union of Geological Sciencesで廃止)
incisive	(刃物など)鋭い|鋭利な|鋭敏な|機敏な|刺すような|(皮肉など)痛烈な|辛辣な
juggler	お手玉をする人|手品師|詐欺師
cuticle	外皮|(つめの)あま皮|植物の上皮
gerbil	アレチネズミ|スナネズミ
mobilisation	動員|動員|軍事化
discernment	識別
obsolescence	陳腐化|すたれかけていること|(器官の)退行|萎縮
interpolate	に手を加える|挿入する|間に入れる|差しはさむ
recode	put into a different code; rearrange mentally; "People recode and restructure information in order to remember it"|put into a different code|rearrange mentally
onus	重荷|責任|義務(of)|the onus of proof挙証の責任
sweetly	優しく|甘く
psychotropic	向精神
auk	ウミスズメ科の鳥(ウミガラス|ウミスズメなど)
clementine	クレメンタイン|小さな甘いミカン
formality	形式的なこと|堅苦しさ|几帳面さ|手続き|儀礼的行為
pocketbook	ハン財布|手帳|紙入れ|札入れ|財布|資力|財源
lymphocytic	リンパ球の|リンパ性の
whosoever	whoever の強意形
proteinase	プロティナーゼ|蛋白質分解酵素
undetectable	検出できない
congruence	合同|適合|一致
vermeil	朱色|金めっきした銀(青銅)
ultimo	先月の
statuary	彫像|彫塑術|彫塑の
goudy	ガウディー
accuser	告訴人|刑事訴訟の原告
prolactin	プロラクチン
sunbelt	サンベルト
intermittently	断続的に|途切れ途切れに
chewy	十分にかむ必要のある
decimation	大量殺害
hypotension	低血圧(症)
busby	バズビー帽(英国陸軍近衛(このえ)兵のかぶる黒の毛皮製の高帽)
inapplicable	当てはまらない
cheep	ヒヨコの鳴き声|ピヨピヨ
griffon	グリフォン|グリフォンブリュッセロワ|ブリュッセルグリフォン|グリフォン|グリフォン|シロエリハゲワシ
philanthropist	博愛主義者|慈善家
preexist	〈人が〉別界に先在する|〈魂が〉肉体と合体する以前に存在する
superconductivity	超電気伝導(金属の電気抵抗がある温度で0になること)
pasha	パシャ(もとトルコの高官の尊称で名前の後に付けた)
amygdala	扁桃体
motionless	動かない
hammerhead	シュモクザメ(頭部がハンマーの頭に似ている)
dowel	目くぎ|合わせくぎ|くぎではめる
apprehend	理解する|感づく|感知する|の意味をとらえる|逮捕する(arrest のほうが一般的)
electrolytic	電気分解の|電解質の
lamina	薄板|薄片|薄層|薄膜
farrow	一腹の豚の子|(子を)生む
boxcar	有蓋車|(大きな)靴|(さいころの)6ぞろ(2個とも6が出ること)
physiologic	生理学的な
taffy	タフィー(砂糖・バターなどを煮て固めたキャラメルの一種)
cerebellar	小脳の
theorist	理論家
glioma	神経膠腫
serviceable	役に立つ|便利な|丈夫で長持ちする|実用的な|使いやすい
heartwarming	心暖まる
conto	1 conto equals 1,000 escudos in Portugal
indigestion	消化不良
betterment	向上|改善|出世|(不動産の価格の)改良
emcee	司会者|司会する
curative	医薬|治療法|治療薬|治癒的な|治癒力のある|病気に効く
igneous	火の|火のような|(岩石が)火成の
patently	明白に
delectable	楽しい|おいしい|おいしそうな|非常に快い|愉快な
proletariat	無産階級|プロレタリア|労働
analytically	分析的に
fanciful	想像力に富む|気まぐれな|空想的な|非現実的な
bey	ベイ(中東の高官の称号)|ベイ(Mr.に当たるトルコ語)
telecast	テレビ放送
tempera	テンペラ画[法](壁画などに水性絵の具を卵黄などで溶いて用いた画法)|テンペラ絵の具
videocassette	ビデオカセット
intermediation	介入|介在|斡旋|仲介
insulate	絶縁する|孤立させる
disinfect	消毒|消毒する
dishonor	に屈辱をあたえる
boney	がりがり|我利我利|やせぎす|痩せぎす
technic	=technique
extrinsic	庭の敷石
sketchy	スケッチの|未完成品|スケッチ風の|概略の|大雑把な|不完全な|皮相な
archway	アーチウェイ|アーチ道(アーチの架けられた)|アーチ付きの入口
